1.518353, 0.806866, 0.487495, 0.459019, 0.329342, 0.325140, 0.326002
1.522858, 0.806338, 0.479712, 0.470697, 0.340883, 0.328590, 0.326547
1.507346, 0.806404, 0.476230, 0.433195, 0.351490, 0.323381, 0.325238
1.515604, 0.810151, 0.477400, 0.421527, 0.327560, 0.326733, 0.324035
1.509785, 0.821564, 0.477246, 0.421226, 0.329423, 0.330058, 0.325605
1.528116, 0.814378, 0.565504, 0.320264, 0.365210, 0.329330, 0.326267
1.534184, 0.809969, 0.546758, 0.427813, 0.329174, 0.326288, 0.321681
1.506298, 0.806626, 0.620086, 0.464151, 0.328285, 0.323295, 0.326468
1.509199, 0.807726, 0.658584, 0.389183, 0.344912, 0.324948, 0.323205
1.508852, 0.822986, 0.615927, 0.465347, 0.341232, 0.330861, 0.322567
1.527407, 0.807927, 0.545684, 0.321085, 0.334317, 0.328170, 0.321324
1.528243, 0.807801, 0.631137, 0.469199, 0.329916, 0.326904, 0.323372
1.513184, 0.806941, 0.605838, 0.455967, 0.338106, 0.324805, 0.320888
1.505934, 0.805164, 0.564095, 0.458118, 0.330680, 0.327522, 0.323692
1.533748, 0.807287, 0.557526, 0.469760, 0.343354, 0.324348, 0.327260
1.531934, 0.806631, 0.576200, 0.446756, 0.331752, 0.330319, 0.324158
1.505812, 0.807124, 0.551709, 0.414334, 0.328064, 0.325329, 0.322680
1.540598, 0.808885, 0.538396, 0.458876, 0.325825, 0.329570, 0.323319
1.517118, 0.807224, 0.658000, 0.465377, 0.342250, 0.330456, 0.321385
1.515985, 0.808478, 0.535221, 0.466321, 0.331525, 0.332098, 0.326659
1.507502, 0.806243, 0.560919, 0.461282, 0.331522, 0.327613, 0.325882
